"component__cGrey","component__rubyTag","component__icon href","component__blueLink","component__toolTip href","component__main_text","component__light_text 2","component__main_text 2","component__sub_wrap","component__main_text 3","component__main_text 4","labels_semiBold","CompletionChart__percentage","hyperlinks_small","component__light_text 6","component__light_text 8","component__light_text 10","component__leadInfo href","component__percentile","component__toolTipText 5","videoStatus__wrapper src","videoStatus__heading","videoStatus__subHeading","videoStatus__ctaStyleActive","component__selfVerifier","component__extra_link 3","component__extra_link href","videoStatus__ctaStyleActive 2","hyperlinks_small 2"
"Shops for Lease in M3M 65th Avenue, Sector 65 Gurgaon,Gurgaon","","https://www.99acres.com/Y73533341","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=Y73533341","Rs25,000","| Built-up  Area:","256 sq.ft.","Y73533341:","07 Feb 2024","05 Apr 2024","Property score is good","100%","Add photos","2","30","193 Credits","https://www.99acres.com/lmsSearch?propId=Y73533341","78.35 %","On 13-03-2024, this listing performed better than 78.35 % of the listings in its locality.","","","","","","View 11 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Shops for Lease in M3M 65th Avenue, Sector 65 Gurgaon,Gurgaon","","https://www.99acres.com/L73533215","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=L73533215","Rs1.06 Lac","| Built-up  Area:","1064 sq.ft.","L73533215:","07 Feb 2024","05 Apr 2024","Property score is good","100%","Add photos","2","8","193 Credits","https://www.99acres.com/lmsSearch?propId=L73533215","54.12 %","On 13-03-2024, this listing performed better than 54.12 % of the listings in its locality.","","","","","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Shops for Lease in Eros City Square, Sector 49 Gurgaon,Gurgaon","","https://www.99acres.com/V73402699","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=V73402699","Rs1.5 Lac","| Built-up  Area:","1108 sq.ft.","V73402699:","06 Feb 2024","28 Mar 2024","Property score is good","100%","Add photos","4","18","193 Credits","https://www.99acres.com/lmsSearch?propId=V73402699","93.94 %","On 13-03-2024, this listing performed better than 93.94 % of the listings in its locality.","","","","","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"4 BHK Independent/Builder Floor for Sale in SS Linden Floors, Sector 84 Gurgaon,Gurgaon","","https://www.99acres.com/B72499466","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=B72499466","Rs2.55 Crore","| Super built-up  Area:","2637 sq.ft.","B72499466:","06 Feb 2024","06 Apr 2024","Property score is good","100%","Add photos","32","22","386 Credits","https://www.99acres.com/lmsSearch?propId=B72499466","42.78 %","On 13-03-2024, this listing performed better than 42.78 % of the listings in its locality.","","","","","Assign & share for SV","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Other for Rent in DLF City Phase 1, Sector 26 Gurgaon,Gurgaon","","https://www.99acres.com/W72567720","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=W72567720","Rs45,000","| Plot  Area:","1350 sq.ft.","W72567720:","06 Feb 2024","06 Apr 2024","Property score is medium","90%","Add photos","29","13","386 Credits","https://www.99acres.com/lmsSearch?propId=W72567720","47.03 %","On 13-03-2024, this listing performed better than 47.03 % of the listings in its locality.","","","","","Assign & share for SV","","","",""
"Ready to move Office Space for Lease in DLF City Court, Sector 24 Gurgaon,Gurgaon","","https://www.99acres.com/Z73269703","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=Z73269703","Rs1.04 Lac","| Super built-up  Area:","1300 sq.ft.","Z73269703:","04 Feb 2024","19 Mar 2024","Property score is good","100%","Add photos","2","8","772 Credits","https://www.99acres.com/lmsSearch?propId=Z73269703","86.86 %","On 13-03-2024, this listing performed better than 86.86 % of the listings in its locality.","","","","","","View 3 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"3 BHK Independent House/Villa for Rent in G Block, DLF Phase 1,Gurgaon","","https://www.99acres.com/N73489383","Assigned to: ram","https://www.99acres.com/editproperty/?action=edit&prop_id=N73489383","Rs1.25 Lac","| Plot  Area:","200 sq.yards","N73489383:","02 Feb 2024","02 Apr 2024","Property score is medium","82%","Add photos","11","21","193 Credits","https://www.99acres.com/lmsSearch?propId=N73489383","43.34 %","On 13-03-2024, this listing performed better than 43.34 % of the listings in its locality.","","","","","Assign & share for SV","","","",""
"3 BHK Independent/Builder Floor for Rent in Builder floor , Sector 28 Gurgaon,Gurgaon","","https://www.99acres.com/T73484941","Assigned to: Ghanshyam kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=T73484941","Rs58,000","| Super built-up  Area:","1800 sq.ft.","T73484941:","02 Feb 2024","02 Apr 2024","Property score is good","100%","Add photos","0","2","193 Credits","https://www.99acres.com/lmsSearch?propId=T73484941","45.24 %","On 13-03-2024, this listing performed better than 45.24 % of the listings in its locality.","","","","","Assign & share for SV","","","",""
"Bare Shell Office Space for Lease in Spaze Buziness Park, Sector 66 Gurgaon,Gurgaon","","https://www.99acres.com/Q73361887","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=Q73361887","Rs1.08 Lac","| Super built-up  Area:","1352 sq.ft.","Q73361887:","30 Jan 2024","25 Mar 2024","Property score is good","100%","Add photos","6","7","386 Credits","https://www.99acres.com/lmsSearch?propId=Q73361887","72.09 %","On 13-03-2024, this listing performed better than 72.09 % of the listings in its locality.","","","","","","View 2 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"2 BHK Flat/Apartment for Rent in Emaar Digihomes, Sector 62 Gurgaon,Gurgaon","","https://www.99acres.com/Y73428945","Assigned to: Ghanshyam kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=Y73428945","Rs65,000","| Super built-up  Area:","1508.26 sq.ft.","Y73428945:","30 Jan 2024","30 Mar 2024","Property score is medium","86%","Add photos","0","8","193 Credits","https://www.99acres.com/lmsSearch?propId=Y73428945","60.49 %","On 13-03-2024, this listing performed better than 60.49 % of the listings in its locality.","","","","","Assign & share for SV","","","",""
